IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.198.139,2087,4-4白嫖,TRUE,白嫖125,Asia Pacific,Singapore,198,32.23
47.236.65.177,2053,4-4白嫖,TRUE,白嫖126,Asia Pacific,Singapore,199,33.23
47.236.172.95,2087,4-4白嫖,TRUE,白嫖127,Asia Pacific,Singapore,200,34.23
8.222.249.190,2087,4-4白嫖,TRUE,白嫖128,Asia Pacific,Singapore,201,35.23
8.222.219.252,8443,4-4白嫖,TRUE,白嫖129,Asia Pacific,Singapore,202,36.23
47.236.198.189,2083,4-4白嫖,TRUE,白嫖130,Asia Pacific,Singapore,203,37.23
47.236.170.54,8443,4-4白嫖,TRUE,白嫖131,Asia Pacific,Singapore,204,38.23
47.236.204.152,2083,4-4白嫖,TRUE,白嫖132,Asia Pacific,Singapore,205,39.23
8.219.177.205,2053,4-4白嫖,TRUE,白嫖133,Asia Pacific,Singapore,206,40.23
47.245.93.74,8443,4-4白嫖,TRUE,白嫖134,Asia Pacific,Singapore,207,41.23
8.219.77.91,8443,4-4白嫖,TRUE,白嫖135,Asia Pacific,Singapore,208,42.23
47.236.168.17,8443,4-4白嫖,TRUE,白嫖136,Asia Pacific,Singapore,209,43.23
47.236.87.246,2096,4-4白嫖,TRUE,白嫖137,Asia Pacific,Singapore,210,44.23
8.222.229.102,2053,4-4白嫖,TRUE,白嫖138,Asia Pacific,Singapore,211,45.23
47.236.88.85,2087,4-4白嫖,TRUE,白嫖139,Asia Pacific,Singapore,212,46.23
47.236.187.144,2096,4-4白嫖,TRUE,白嫖140,Asia Pacific,Singapore,213,47.23
8.222.219.252,2083,4-4白嫖,TRUE,白嫖141,Asia Pacific,Singapore,214,48.23
8.222.144.50,2087,4-4白嫖,TRUE,白嫖142,Asia Pacific,Singapore,215,49.23
8.219.233.6,2096,4-4白嫖,TRUE,白嫖143,Asia Pacific,Singapore,216,50.23
8.219.122.96,8443,4-4白嫖,TRUE,白嫖144,Asia Pacific,Singapore,217,51.23
8.219.198.139,2083,4-4白嫖,TRUE,白嫖145,Asia Pacific,Singapore,218,52.23
47.236.167.231,2083,4-4白嫖,TRUE,白嫖146,Asia Pacific,Singapore,219,53.23
47.236.76.199,2083,4-4白嫖,TRUE,白嫖147,Asia Pacific,Singapore,220,54.23
8.219.183.31,2087,4-4白嫖,TRUE,白嫖148,Asia Pacific,Singapore,221,55.23
8.219.174.213,8443,4-4白嫖,TRUE,白嫖149,Asia Pacific,Singapore,222,56.23
47.236.192.198,8443,4-4白嫖,TRUE,白嫖150,Asia Pacific,Singapore,223,57.23
47.236.116.182,2087,4-4白嫖,TRUE,白嫖151,Asia Pacific,Singapore,224,58.23
47.236.39.34,8443,4-4白嫖,TRUE,白嫖152,Asia Pacific,Singapore,225,59.23
47.236.19.51,2083,4-4白嫖,TRUE,白嫖153,Asia Pacific,Singapore,226,60.23
47.236.65.232,8443,4-4白嫖,TRUE,白嫖154,Asia Pacific,Singapore,227,61.23
8.219.174.213,2096,4-4白嫖,TRUE,白嫖155,Asia Pacific,Singapore,228,62.23
47.236.156.14,2053,4-4白嫖,TRUE,白嫖156,Asia Pacific,Singapore,229,63.23
8.219.208.69,2083,4-4白嫖,TRUE,白嫖157,Asia Pacific,Singapore,230,64.23
47.236.144.208,2053,4-4白嫖,TRUE,白嫖158,Asia Pacific,Singapore,231,65.23
8.219.200.145,2053,4-4白嫖,TRUE,白嫖159,Asia Pacific,Singapore,232,66.23
8.222.215.228,2053,4-4白嫖,TRUE,白嫖160,Asia Pacific,Singapore,233,67.23
