IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.74.42.17,8880,3-31-iptest,FALSE,JP080,Asia Pacific,Osaka,,10
47.74.13.200,2052,3-31-iptest,FALSE,JP082,Asia Pacific,Osaka,,10
47.91.15.247,2086,3-31-iptest,FALSE,JP083,Asia Pacific,Osaka,,10
47.245.30.65,2052,3-31-iptest,FALSE,JP086,Asia Pacific,Osaka,,10
47.91.19.249,2086,3-31-iptest,FALSE,JP088,Asia Pacific,Osaka,,10
47.245.40.161,2086,3-31-iptest,FALSE,JP089,Asia Pacific,Osaka,,10
47.245.56.207,80,3-31-iptest,FALSE,JP090,Asia Pacific,Osaka,,10
8.209.200.73,2095,3-31-iptest,FALSE,JP091,Asia Pacific,Osaka,,10
47.91.15.247,8443,3-31-iptest,TRUE,JP092,Asia Pacific,Osaka,,10
47.245.56.121,2087,3-31-iptest,TRUE,JP093,Asia Pacific,Osaka,,10
8.219.55.31,8443,4-1iptest,TRUE,JP094,Asia Pacific,Osaka,,10
138.2.10.251,80,4-1iptest,FALSE,JP095,Asia Pacific,Osaka,,10
138.3.212.162,2083,4-1iptest,TRUE,JP097,Asia Pacific,Osaka,,10
47.74.16.255,2095,4-1iptest,FALSE,JP098,Asia Pacific,Osaka,,10
47.91.29.108,2086,4-1iptest,FALSE,JP099,Asia Pacific,Osaka,,10
47.74.37.50,2086,4-1iptest,FALSE,JP100,Asia Pacific,Osaka,,10
47.245.40.161,2052,4-1iptest,FALSE,JP101,Asia Pacific,Osaka,,10
47.245.59.188,8080,4-1iptest,FALSE,JP102,Asia Pacific,Osaka,,10
47.74.37.50,8880,4-1iptest,FALSE,JP103,Asia Pacific,Osaka,,10
47.245.15.236,8880,4-1iptest,FALSE,JP105,Asia Pacific,Osaka,,10
47.74.15.80,2086,4-1iptest,FALSE,JP106,Asia Pacific,Osaka,,10
47.245.56.29,2087,4-1iptest,TRUE,JP108,Asia Pacific,Osaka,,10
